Theta	Phi	Total-adj
135	1	-0.61
136	1	-9.62
137	1	-6.00
138	1	-1.60
139	1	-1.65
140	1	-0.89
141	1	0.10
142	1	-0.30
143	1	-0.97
144	1	-0.12
145	1	-0.85
146	1	0.63
147	1	0.72
148	1	0.18
149	1	0.28
150	1	-0.65
151	1	1.50
152	1	-1.32
153	1	1.22
154	1	1.72
155	1	2.23
156	1	0.67
157	1	-0.59
158	1	-0.29
159	1	-3.13
160	1	-2.68
161	1	-4.97
162	1	-3.94
163	1	-0.36
164	1	-3.79
165	1	-1.88
166	1	-3.13
167	1	-5.69
168	1	1.36
169	1	-1.81
170	1	-1.41
171	1	-2.70
172	1	-2.74
173	1	-9.53
174	1	-8.60
175	1	-6.84
176	1	-4.41
177	1	-8.80
178	1	-8.28
179	1	3.27
180	1	2.09
0	2	-1.90
1	2	-2.42
2	2	-2.68
3	2	-0.07
4	2	-2.31
5	2	-7.63
6	2	-10.25
7	2	-5.94
8	2	-10.19
9	2	-10.05
10	2	-21.13
11	2	-27.08
12	2	-13.01
13	2	-9.55
14	2	-5.33
15	2	1.74
16	2	2.09
17	2	1.25
18	2	-1.67
19	2	5.29
20	2	3.68
21	2	-2.61
22	2	0.94
23	2	0.51
24	2	-6.86
25	2	-13.00
26	2	-9.88
27	2	-9.70
28	2	-10.86
29	2	-11.74
30	2	-5.20
31	2	-8.53
32	2	-8.40
33	2	-10.35
34	2	-4.61
35	2	-2.30
36	2	-2.82
37	2	0.94
38	2	-0.18
39	2	1.24
40	2	-3.10
41	2	-1.72
42	2	-1.68
43	2	-3.01
44	2	-0.13
45	2	-1.70
46	2	-2.37
47	2	-1.34
48	2	-0.02
49	2	-0.15
50	2	1.58
51	2	-1.11
52	2	-1.52
53	2	-1.74
54	2	-3.25
55	2	-0.97
56	2	3.52
57	2	2.11
58	2	-1.98
59	2	-1.24
60	2	0.86
61	2	0.81
62	2	0.47
63	2	-0.22
64	2	-10.45
65	2	-1.27
66	2	-1.36
67	2	-1.93
68	2	-1.37
69	2	-1.75
70	2	-2.47
71	2	-1.39
72	2	-1.83
73	2	-1.05
74	2	-1.28
75	2	-4.77
76	2	-3.10
77	2	-5.56
78	2	-5.91
79	2	-6.55
80	2	-9.34
81	2	-9.82
82	2	-15.15
83	2	-12.05
84	2	-9.73
85	2	-10.08
86	2	-10.43
87	2	-11.02
88	2	-9.20
89	2	-0.81
90	2	-17.69
91	2	-11.32
92	2	-12.87
93	2	-28.46
94	2	-22.76
95	2	-22.79
96	2	-31.34
97	2	-26.35
98	2	-8.96
99	2	-8.16
100	2	-13.53
101	2	-5.45
102	2	-15.31
103	2	-11.33
104	2	-14.71
105	2	-7.36
106	2	-11.80
107	2	-6.34
108	2	-7.06
109	2	-9.07
110	2	-4.80
111	2	-4.26
112	2	-2.38
113	2	-0.86
114	2	-1.16
115	2	-3.10
116	2	-3.40
117	2	-1.00
118	2	-1.25
119	2	-0.41
120	2	1.31
121	2	-1.34
122	2	0.55
123	2	-1.88
124	2	-0.86
125	2	-0.17
126	2	0.07
127	2	-1.16
128	2	0.12
129	2	2.35
130	2	2.83
131	2	1.55
132	2	-2.87
133	2	0.71
134	2	-1.09
135	2	-8.04
136	2	-20.67
137	2	-16.39
138	2	0.50
139	2	0.81
140	2	-1.58
141	2	-1.06
142	2	0.88
143	2	-1.24
144	2	0.75
145	2	-1.25
146	2	-4.91
147	2	0.38
148	2	2.08
149	2	3.82
150	2	2.89
151	2	4.96
152	2	3.42
153	2	-1.33
154	2	-0.12
155	2	2.23
156	2	-0.02
157	2	-0.54
158	2	-2.25
159	2	-1.55
160	2	-1.62
161	2	0.44
162	2	-7.45
163	2	-9.02
164	2	-2.20
165	2	-6.13
166	2	-6.25
167	2	-6.43
168	2	-4.78
169	2	-1.58
170	2	-1.76
171	2	-5.01
172	2	-4.66
173	2	-6.85
174	2	-8.11
175	2	-9.52
176	2	-2.62
177	2	-6.65
178	2	-7.36
179	2	3.35
180	2	2.09
0	3	-1.90
1	3	-2.41
2	3	-2.85
